identifier1,identifier2,lemma,grouping_x,grouping_y,context_x,context_y,judgment
fic_1813_7433.txt-17-51,fic_1965_10457.txt-722-1,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","We circled the many-roofed temples and came on the far side to a breathtaking view of a series of gardens running in terraces down to the canal, which here was artificially broad and contained several islands feathery with sycamores.",3.0
fic_1813_7433.txt-17-51,fic_1978_10643.txt-582-15,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","The plane dipped and did a slow, graceful tilt to the left as it circled the city and then dropped down, white ceiling to blue ceiling, then to sunlit air with the cement gray runways and scattered green patches that formed the carpet earth.",2.0
fic_1813_7433.txt-17-51,fic_1986_10746.txt-2024-2,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",They were circling each other now.,2.0
fic_1813_7433.txt-17-51,fic_1998_43112.txt-279-2,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","Dr. Richards circled around and around, but even so, the pressure from behind as more people rushed the top of the hill kept forcing people into the path of the discharge.",2.0
fic_1999_32353.txt-195-9,fic_1813_7433.txt-17-51,circle_vb,2,1,His hands caressed her shrunken breasts and his tongue circled the hardened tips.,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",2.0
fic_2003_31434.txt-87-1,fic_1813_7433.txt-17-51,circle_vb,2,1,"I circled the date I mailed the letter on the calendar, Tuesday, December 5, and calculated how long I would have to wait for a response.","Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",1.0
fic_1813_7433.txt-17-51,mag_1847_555426.txt-683-22,circle_vb,1,1,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","head of the Canandaigua lake, where they were put in imminent peril of utter destruction by a monstrous serpent, which circled itself about the fort, and lay with its mouth open at the gate.",3.0
fic_1813_7433.txt-17-51,mag_1851_555737.txt-428-2,circle_vb,1,1,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","Scalping parties circled round them, and carried the torch and tomahawk far down the eastern slope of the Alleghanies. """,2.0
fic_1813_7433.txt-17-51,mag_1965_492000.txt-179-10,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",to peer anxiously out of the plane window as it circled over town to see if the lights were still shining out onto the sidewalk.,2.0
fic_1813_7433.txt-17-51,mag_1966_478596.txt-266-7,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","One patrol ear stayed close while I circled among homes in the faculty compound (where the Joneses have the biggest homes), but when I kept going the patrol car did too.",3.0
fic_1813_7433.txt-17-51,mag_1996_65462.txt-59-18,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","Under the lights that bathed the winner's ring at Nad Al Sheba, as a weary Cigar circled nearby and thousands of Arabs delivered a standing ovation, the crown prince of Dubai and the creator of the cup, His Highness Sheikh Mohammed bin Rashid al-Maktoum, swept across the circle in his flowing white robe and red-and-white headdress and reached out his",2.0
fic_1813_7433.txt-17-51,mag_2004_364661.txt-14-25,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","Its first screening, on a Monday at 8 a.m., got total team news coverage; a dozen or so radio and TV crews circled the U.S. critics to get their early reaction as Miramax Films co-chairman Harvey Weinstein, whose Disney bosses had forbidden him to release the film, paced nearby and chortled, "" They say I've lost my edge?",2.0
mag_2007_389214.txt-68-21,fic_1813_7433.txt-17-51,circle_vb,2,1,"David Geffen or another benevolent mogul would acquire the Times (at press time, sharks including Rupert Murdoch were also circling).","Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",2.0
fic_1813_7433.txt-17-51,news_1998_653838.txt-0-29,circle_vb,1,2,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","@@653838 The conference room in the Sheraton New Orleans hotel was quiet, save for the shoo-shoo-shoo deep-breathing sounds coming from the 80 men and women in nametags silently circling the room.",2.0
fic_1815_8679.txt-1191-18,fic_1835_7016.txt-52-17,attack_nn,1,1,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","marching compactly, and in strict order, so as to be best able to resist an attack of enemies.",4.0
fic_1815_8679.txt-1191-18,fic_1843_7208.txt-1962-24,attack_nn,1,1,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","From the number that reached the Honorable Abimelech Blower, that gentleman formed a sudden conception that he was becoming the general centre of attack, and that the whole meeting had risen to a man and was bestowing its favors upon his person.",4.0
fic_1853_9142.txt-2485-5,fic_1815_8679.txt-1191-18,attack_nn,1,1,", had a very severe attack of fever, lost a wife and child.","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",2.0
fic_1855_1209.txt-1154-11,fic_1815_8679.txt-1191-18,attack_nn,1,1,"The truth was, he had not been taken resisting the attack of Captain Bramble and his men, but his accusers did not hesitate to represent that he was thus guilty, and several were prepared, Maud among the rest, to swear to this charge.","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",4.0
fic_1815_8679.txt-1191-18,fic_1997_42316.txt-364-12,attack_nn,1,2,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",This couldn't be the man who had died of a heart attack at 46.,2.0
fic_1815_8679.txt-1191-18,fic_2001_30916.txt-341-42,attack_nn,1,2,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","In that month, when we hoped my father would live, my mother drove straight from work through the Midtown Tunnel, to Bellevue Hospital where my father, in an oxygen tent, did not recover from his first heart attack, but had another and a fatal third.",2.0
fic_1815_8679.txt-1191-18,mag_1824_553547.txt-271-9,attack_nn,1,1,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","in th centre of Europe, exposed to an attack on all sides, whether from France, Austria, or the Czar, it has been felt, that nothing but the public spirit of the nation can preserve its existence, and that spirit has been kept up by the gradual abolition of all feudal wrongs, and the general diffusion of intelligence.",4.0
mag_1834_564699.txt-309-17,fic_1815_8679.txt-1191-18,attack_nn,1,1,"Now we beg to have it understood, that we have no thoughts of making a serious attack upon the armies of fiction, which have besieged the very nurseries of our nation","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",4.0
fic_1815_8679.txt-1191-18,mag_1841_554950.txt-201-18,attack_nn,1,1,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","These were probably among the prevailing motives, which induced the general commanding to change the order of attack in some degree.",4.0
fic_1815_8679.txt-1191-18,mag_1860_556896.txt-277-54,attack_nn,1,1,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","Science can predict with unerring precision all the eclipses of Jupiter's satellites for a century hence; but it can not tell which way the wind will blow to-morrow morning, how rich will be the next harvest, or what will be the origin, progress, or issue of a single attack of disease.",2.0
fic_1815_8679.txt-1191-18,mag_1984_432201.txt-418-31,attack_nn,1,2,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","Moreover, while most knowledgeable Johnson administration officials had concluded the attacks were retaliation for the OPLAN 34A raids, McNamara was at a loss to explain enemy motives for the attacks. """,4.0
mag_2000_368596.txt-1-38,fic_1815_8679.txt-1191-18,attack_nn,2,1,"Although the drugs can not stop an asthma attack that has already started (different medications are needed for that), inhaled steroids are very good at counteracting the chronic inflammation that predisposes the lungs to asthma attacks in the first place.","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",4.0
mag_2000_411180.txt-3-48,fic_1815_8679.txt-1191-18,attack_nn,2,1,"Various rogue regimes around the world have been steadily advancing their efforts to obtain the technical know how and components to threaten their neighbors and, ultimately, the U.S. "" // DESPITE THE END of the Cold War, America has not fully escaped the threat of attack by intercontinental ballistic missiles (ICBMs).","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",2.0
fic_1815_8679.txt-1191-18,mag_2001_371293.txt-22-29,attack_nn,1,2,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","The British white paper alleges: -- One of bin Laden's "" close associates "" -- the British won't say who -- helped plan the Sept. 11 attacks.",3.5
fic_1815_8679.txt-1191-18,mag_2002_397767.txt-169-8,attack_nn,1,2,"Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.","In the aftermath of last year's terrorist attacks, it is especially important to convey this message to your child.",3.0
news_1983_668487.txt-5-7,fic_1815_8679.txt-1191-18,attack_nn,2,1,"The council said it carried out the attack because Sartawi had "" sold out "" the Palestinian cause.","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",4.0
news_1986_670456.txt-77-3,fic_1815_8679.txt-1191-18,attack_nn,2,1,"There may be attacks in all of those areas, "" he said.","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",4.0
news_2004_640240.txt-65-4,fic_1815_8679.txt-1191-18,attack_nn,2,1,"Church suffered a heart attack in 2001 but has had no health problems since, thanks to a pacemaker and defibrillator.","Then give the dues to nature; dream of victory; for ere the light of day the attack begins, must give us that, or sleep on bed of honor.",2.0
fic_1822_7243.txt-2100-12,fic_1846_557.txt-526-26,head_nn,1,1,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.","Mr. Clapp had no sooner found seats for his wife and child, than he began to look about him; his eye wandered over the heads around, apparently in quest of some one; at length his search seemed successful; it rested on a man, whose whole appearance and dress proclaimed him to be a sailor.",4.0
fic_1853_9040.txt-4879-18,fic_1822_7243.txt-2100-12,head_nn,1,1,"Nevertheless, he said, "" I am afraid he will not suit, "" surveying him from head to foot; "" but if you have a mind, you may come with me for a month, and if I find you honest, and of any tolerable capacity, we can perhaps make a bargain. ""","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",4.0
fic_1960_5311.txt-3283-13,fic_1822_7243.txt-2100-12,head_nn,2,1,"Skop sank into an apparent doze in his chair and Jason, his head propped against the pull of gravity by one arm, began a working sketch of his machine.","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",4.0
fic_1822_7243.txt-2100-12,fic_1967_10483.txt-2845-1,head_nn,1,2,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",His head came up.,4.0
fic_1967_13806.txt-322-4,fic_1822_7243.txt-2100-12,head_nn,2,1,"The other WOMAN 'S head is thrust forward and out, so that her eyes look continually downward.)","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",4.0
fic_1978_10636.txt-8174-3,fic_1822_7243.txt-2100-12,head_nn,2,1,"She lay her head beside my arm, her jaw ajar, and with a gray tongue licked the sweat from my pores.","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",4.0
fic_1822_7243.txt-2100-12,fic_2004_31146.txt-68-18,head_nn,1,2,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.","It looked like the goose was answering him, shaking its head no, but by shaking its head at all it was actually answering yes "" Used to be something else out there, "" Sandy said. """,4.0
fic_2006_27486.txt-9-3,fic_1822_7243.txt-2100-12,head_nn,2,1,"He carried his head high and erect because he knew he had a good profile, and he carried his mouth like a switch knife","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",4.0
fic_1822_7243.txt-2100-12,fic_2009_36736.txt-88-4,head_nn,1,2,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",The voice in his head was abruptly silenced.,3.5
fic_1822_7243.txt-2100-12,mag_1843_565265.txt-376-20,head_nn,1,1,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.","I taxed myself not so much with error as with ignorance, and my heart answered them better than my head.",2.0
mag_1858_506134.txt-214-38,fic_1822_7243.txt-2100-12,head_nn,1,1,"He bowed to every one, using his drawn sword to salute with, gazing with that calmness, unlike any body else's I ever saw, at the crowd and up to the windows full of heads.","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",4.0
fic_1822_7243.txt-2100-12,mag_1998_69124.txt-151-3,head_nn,1,2,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.","David put his head in the sand, but we finally had some talks.",4.0
fic_1822_7243.txt-2100-12,mag_2001_416465.txt-126-23,head_nn,1,2,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.","// SCHOOLS IN: PC Show and Tells detailed audiovisual tutorials, like this one for PhotoDeluxe, will push you to the head of the class.",2.0
nf_1837_755525.txt-2405-6,fic_1822_7243.txt-2100-12,head_nn,1,1,"The President, stationed at the head of this circular apartment, had on his right hand the Secretary of State and the Secretary of the Treasury, on his left the Secretary of War and the Secretary of the Navy, and, ranged on each side the room, were the other gentlemen invited to be present at this interview.","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",2.0
fic_1822_7243.txt-2100-12,nf_1851_771607.txt-1191-25,head_nn,1,1,"A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.","But the eatables were removed, silence restored, and three enormous flagons, apparently of pure gold, placed on the table near its head.",2.0
fic_1835_7133.txt-1752-8,fic_1823_7213.txt-2919-7,lane_nn,1,1,"Riding a quarter of a mile down the lane we dismounted, and leaving our horses in the road, sprang over a fence, and in a few seconds stood upon the American breast-works! ""","A few minutes brought them to the lane, where they met Gilbert; and Maria becoming soon satisfied, from their conversation, that the stranger was not from Philadelphia, the fluttering of her bosom gradually subsided. """,4.0
fic_1823_7213.txt-2919-7,nf_1841_747926.txt-251-30,lane_nn,1,1,"A few minutes brought them to the lane, where they met Gilbert; and Maria becoming soon satisfied, from their conversation, that the stranger was not from Philadelphia, the fluttering of her bosom gradually subsided. ""","The whole of this neighborhood of Brookline is a kind of landscape garden, and there is nothing in America, of the sort, so inexpressibly charming as the lanes which lead from one cottage, or villa, to another.",4.0
fic_1823_7213.txt-2919-7,nf_2002_776186.txt-216-20,lane_nn,1,2,"A few minutes brought them to the lane, where they met Gilbert; and Maria becoming soon satisfied, from their conversation, that the stranger was not from Philadelphia, the fluttering of her bosom gradually subsided. ""","Everything that made life worth living was private, and the splendid secret was there behind every door along that lane,",4.0
fic_1823_7242.txt-2159-25,fic_1841_799.txt-131-20,multitude_nn,1,1,"But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.","Then we have it once again in sculpture, the "" tongue on the balance of expression, "" a multitude of forms in the utmost freedom of action and never transgressing the ideal serenity; like votaries performing some religious dance before the gods, and, though in convulsive pain or mortal combat, never daring to break the figure and decorum of their dance.",1.0
fic_1842_9749.txt-4262-9,fic_1823_7242.txt-2159-25,multitude_nn,1,1,"No, thou shalt die, with all The multitude of sins upon thy head!","But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.",1.0
fic_1844_3928.txt-822-4,fic_1823_7242.txt-2159-25,multitude_nn,1,1,"The eyes of the multitude are more eloquent than their ears, ' as the","But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.",4.0
fic_1823_7242.txt-2159-25,fic_1853_2486.txt-2440-28,multitude_nn,1,1,"But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.","Instantly the nearest gate was thrown open; and, in less than two minutes, horse and rider stood within the enclosure, surrounded by a breathless multitude, eager for his intelligence. """,4.0
fic_1856_2880.txt-2356-20,fic_1823_7242.txt-2159-25,multitude_nn,1,1,"A hundred voices called out his name as he approached, and menacing gestures were addressed to him by the multitude. ""","But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.",4.0
fic_1823_7242.txt-2159-25,fic_1977_782019.txt-3249-6,multitude_nn,1,2,"But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.","The Pharisees would not risk the multitude's anger, especially when it was close to Passover time.",3.0
mag_1845_565440.txt-510-2,fic_1823_7242.txt-2159-25,multitude_nn,1,1,"There are multitudes, who have been coi * flrmed, and are communicants, and not a few who are, or have been, in holy orders, even among bishops; but who are not members of","But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.",4.0
mag_1854_505186.txt-37-42,fic_1823_7242.txt-2159-25,multitude_nn,1,1,"If such illustrious instances of the port of men not really great are so refreshing, even when they had every reason and occasion to seem heroic, whether they really were so or not, think of that solitary and lost multitude, that hecatomb of brave victims, sinking in the sea, without a cause","But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.",4.0
fic_1823_7242.txt-2159-25,mag_1963_441289.txt-309-15,multitude_nn,1,2,"But the trial had its issue; and the sun broke out upon him; and from the east, there came out a great multitude to meet him.","It is poor and it is ambitious, and it shares common problems with the multitude of new states which have sprung to life since 1959, If the visitor steams into Dakar, Senegal's modern capital, from the sea, his first sensation is surprise.",1.0
